[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000950s ]
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001109s ]
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant PHP_FILE already defined Dispatcher.class.php 第 53 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant MODULE_NAME already defined Dispatcher.class.php 第 135 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant P_ACTION_NAME already defined Dispatcher.class.php 第 206 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant ACTION_NAME already defined Dispatcher.class.php 第 136 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant __SELF__ already defined Dispatcher.class.php 第 138 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant __APP__ already defined Dispatcher.class.php 第 140 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant __URL__ already defined Dispatcher.class.php 第 147 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant __ACTION__ already defined Dispatcher.class.php 第 150 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant THEME_NAME already defined App.class.php 第 69 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant THEME_PATH already defined App.class.php 第 71 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant APP_TMPL_PATH already defined App.class.php 第 72 行.
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000099s ]
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:-0.002972s ]
[ 2012-05-10T08:45:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002462s ]
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003941s ]
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant PHP_FILE already defined Dispatcher.class.php 第 53 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant MODULE_NAME already defined Dispatcher.class.php 第 135 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant P_ACTION_NAME already defined Dispatcher.class.php 第 206 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant ACTION_NAME already defined Dispatcher.class.php 第 136 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant __SELF__ already defined Dispatcher.class.php 第 138 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant __APP__ already defined Dispatcher.class.php 第 140 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant __URL__ already defined Dispatcher.class.php 第 147 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant __ACTION__ already defined Dispatcher.class.php 第 150 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant THEME_NAME already defined App.class.php 第 69 行.
[ 2012-05-10T08:50:43+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Constant THEME_PATH already defined App.class.php 第 71 行.
