[ 2012-05-11T19:15:18+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:16:22+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:16:25+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:16:31+08:00 ] /SiaWeb/admin.php/Person | ERR: (ThinkException) 无法加载模块Person
[ 2012-05-11T19:16:43+08:00 ] /SiaWeb/admin.php/Person | ERR: (ThinkException) 无法加载模块Person
[ 2012-05-11T19:16:45+08:00 ] /SiaWeb/admin.php/Person | ERR: (ThinkException) 无法加载模块Person
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001181s ]
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001305s ]
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000645s ]
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000729s ]
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant APP_PUBLIC_PATH - assumed 'APP_PUBLIC_PATH' IndexAction.class.php 第 16 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant CONFIG_PATH - assumed 'CONFIG_PATH' IndexAction.class.php 第 18 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' IndexAction.class.php 第 21 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_APACHE - assumed 'IS_APACHE' IndexAction.class.php 第 23 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_IIS - assumed 'IS_IIS' IndexAction.class.php 第 25 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant LANG_SET - assumed 'LANG_SET' IndexAction.class.php 第 27 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant MODEL_NAME - assumed 'MODEL_NAME' IndexAction.class.php 第 31 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_NAME - assumed 'TEMPLATE_NAME' IndexAction.class.php 第 38 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_PATH - assumed 'TEMPLATE_PATH' IndexAction.class.php 第 39 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' IndexAction.class.php 第 41 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant PHP_FILE already defined Dispatcher.class.php 第 53 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.000062s ]
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:-0.003239s ]
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant __INFO__ already defined Dispatcher.class.php 第 128 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant MODULE_NAME already defined Dispatcher.class.php 第 135 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant P_ACTION_NAME already defined Dispatcher.class.php 第 206 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant ACTION_NAME already defined Dispatcher.class.php 第 136 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant __SELF__ already defined Dispatcher.class.php 第 138 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant __APP__ already defined Dispatcher.class.php 第 140 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant __URL__ already defined Dispatcher.class.php 第 147 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant __ACTION__ already defined Dispatcher.class.php 第 150 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant THEME_NAME already defined App.class.php 第 69 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant THEME_PATH already defined App.class.php 第 71 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Constant APP_TMPL_PATH already defined App.class.php 第 72 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000099s ]
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:-0.003023s ]
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant APP_PUBLIC_PATH - assumed 'APP_PUBLIC_PATH' IndexAction.class.php 第 16 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant CONFIG_PATH - assumed 'CONFIG_PATH' IndexAction.class.php 第 18 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' IndexAction.class.php 第 21 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_APACHE - assumed 'IS_APACHE' IndexAction.class.php 第 23 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_IIS - assumed 'IS_IIS' IndexAction.class.php 第 25 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant LANG_SET - assumed 'LANG_SET' IndexAction.class.php 第 27 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant MODEL_NAME - assumed 'MODEL_NAME' IndexAction.class.php 第 31 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_NAME - assumed 'TEMPLATE_NAME' IndexAction.class.php 第 38 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_PATH - assumed 'TEMPLATE_PATH' IndexAction.class.php 第 39 行.
[ 2012-05-11T19:19:28+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' IndexAction.class.php 第 41 行.
[ 2012-05-11T19:19:57+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:21:29+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:21:32+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:22:15+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:22:18+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
