[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ route_check ] --START--
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run CheckRoute Behavior [ RunTime:0.000824s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ route_check ] --END-- [ RunTime:0.000956s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ app_begin ] --START--
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000579s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000663s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | SQL: SHOW COLUMNS FROM `think_cate` [ RunTime:0.004764s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | SQL: SELECT `id`,`name`,`pid`,concat(path,'-',id) as bpath FROM `think_cate` ORDER BY bpath  [ RunTime:0.000346s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_template ] --START--
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run LocationTemplate Behavior [ RunTime:0.000742s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_template ] --END-- [ RunTime:0.000886s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_parse ] --START--
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ParseTemplate Behavior [ RunTime:0.010303s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010438s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_filter ] --START--
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ContentReplace Behavior [ RunTime:0.000544s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run TokenBuild Behavior [ RunTime:0.000603s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000394s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ShowRuntime Behavior [ RunTime:0.000725s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002571s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_end ] --START--
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ShowPageTrace Behavior [ RunTime:0.000667s ]
[ 2012-05-12T00:00:46+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_end ] --END-- [ RunTime:0.000773s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ route_check ] --START--
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run CheckRoute Behavior [ RunTime:0.001037s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ route_check ] --END-- [ RunTime:0.001156s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ app_begin ] --START--
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000692s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000775s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | SQL: SHOW COLUMNS FROM `think_cate` [ RunTime:0.003299s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | SQL: SELECT `id`,`name`,`pid`,concat(path,'-',id) as bpath FROM `think_cate` ORDER BY bpath  [ RunTime:0.000690s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_template ] --START--
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run LocationTemplate Behavior [ RunTime:0.000949s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_template ] --END-- [ RunTime:0.001044s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_parse ] --START--
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ParseTemplate Behavior [ RunTime:0.010016s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010115s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_filter ] --START--
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ContentReplace Behavior [ RunTime:0.000604s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run TokenBuild Behavior [ RunTime:0.000639s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000375s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ShowRuntime Behavior [ RunTime:0.000893s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002741s ]
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Tag[ view_end ] --START--
[ 2012-05-12T00:01:16+08:00 ] /SiaWeb/admin.php/Cate | INFO: Run ShowPageTrace Behavior [ RunTime:0.000552s ]
