[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.000919s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001076s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000565s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000647s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000601s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000698s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008048s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008167s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000431s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.000481s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000273s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000498s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001915s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000465s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000546s ]
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:31:55+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001545s ]
