[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001172s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001293s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000526s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000605s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.036174s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.036307s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 6 行.
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 35 行.
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 37 行.
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.023142s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023282s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000495s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000555s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000249s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000487s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002064s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000404s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000479s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Common/verify | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001224s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001414s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000843s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000980s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000583s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.000723s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 6 行.
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 35 行.
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 37 行.
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.010752s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010862s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
