[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Tag[ route_check ] --START--
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Run CheckRoute Behavior [ RunTime:0.001416s ]
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001687s ]
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001314s ]
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001563s ]
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | NOTIC: [8] Use of undefined constant Card - assumed 'Card' CardAction.class.php 第 4 行.
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | SQL: SHOW COLUMNS FROM `t_card` [ RunTime:0.005337s ]
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | SQL: SELECT `cardID`,`cardName`,`validTimes`,`cardPrice`,`cardDiscount`,`startTime`,`endTime` FROM `t_card` ORDER BY cardID asc  [ RunTime:0.001033s ]
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Tag[ view_template ] --START--
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001246s ]
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001463s ]
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-31T20:49:30+08:00 ] /abcTest/admin.php/Card/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
