[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Tag[ route_check ] --START--
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Run CheckRoute Behavior [ RunTime:0.002048s ]
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002313s ]
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002240s ]
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002500s ]
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | NOTIC: [8] Use of undefined constant Role - assumed 'Role' DiffAdminIndexAction.class.php 第 4 行.
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | SQL: SHOW COLUMNS FROM `t_role` [ RunTime:0.001069s ]
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | SQL: SELECT		
       GROUP_CONCAT(r.userRight) as rules 
       FROM 
        t_role t,t_right r where t.userRole=r.userRole and userId='888' GROUP BY	t.userId [ RunTime:0.001017s ]
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Tag[ view_template ] --START--
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002399s ]
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002621s ]
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T21:15:15+08:00 ] /abcTest/admin.php/DiffAdminIndex/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
