[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | INFO: Tag[ route_check ] --START--
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | INFO: Run CheckRoute Behavior [ RunTime:0.003989s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.004508s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | INFO: Tag[ app_begin ] --START--
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003533s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003967s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | NOTIC: [8] Use of undefined constant Consume - assumed 'Consume' CountConsumeAction.class.php 第 15 行.
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | SQL: SHOW COLUMNS FROM `t_consume` [ RunTime:0.001908s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | NOTIC: [8] Use of undefined constant User - assumed 'User' CountConsumeAction.class.php 第 16 行.
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.001843s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/show | SQL: SELECT `userRole` FROM `t_user` WHERE userId='2000001' LIMIT 1   [ RunTime:0.000737s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | INFO: Tag[ route_check ] --START--
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | INFO: Run CheckRoute Behavior [ RunTime:0.004044s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | INFO: Tag[ route_check ] --END-- [ RunTime:0.004508s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | INFO: Tag[ app_begin ] --START--
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002543s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002948s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | NOTIC: [8] Use of undefined constant Consume - assumed 'Consume' CountConsumeAction.class.php 第 52 行.
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | SQL: SHOW COLUMNS FROM `t_consume` [ RunTime:0.001972s ]
[ 2019-09-01T12:21:07+08:00 ] /abcTest/admin.php/CountConsume/showCoach | SQL: select  count(t_consume.courseID) as num,DATE_FORMAT( consumeTime,  '%Y-%m' )
   AS TIME from t_coach,t_user,t_course,t_consume where t_user.userId=t_coach.coaID and
    t_course.courseTeacher=t_coach.coaName and t_course.courseID=t_consume.courseID and
     coaID='2000001' group by TIME [ RunTime:0.008709s ]
[ 2019-09-01T12:23:55+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2019-09-01T12:23:55+08:00 ] /abcTest/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.003745s ]
