[ 2019-06-30T10:47:59+08:00 ] /abcTest/admin.php/index/login/index | ERR: (ThinkException) 无法加载模块index
[ 2019-06-30T10:51:10+08:00 ] /abcTest/admin.php/login/index | ERR: (ThinkException) 无法加载模块login
[ 2019-06-30T10:51:34+08:00 ] /abcTest/admin.php/admin/login/index | ERR: (ThinkException) 无法加载模块admin
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001917s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002780s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001422s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001578s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001894s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002057s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013779s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013963s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001624s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001365s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000922s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001326s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005655s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001181s ]
[ 2019-06-30T10:54:59+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001342s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002226s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002473s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001652s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001820s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.002652s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.002918s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003029s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003286s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.002134s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.002347s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.017481s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017807s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.001544s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.001516s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001035s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.002966s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007640s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.002038s ]
[ 2019-06-30T10:55:00+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.002297s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001781s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001981s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001605s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001757s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001847s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002027s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016791s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017009s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.002015s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.002454s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001209s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001545s ]
