[ 2019-07-29T08:38:26+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2019-07-29T08:38:26+08:00 ] /abcTest/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.003353s ]
[ 2019-07-29T08:38:26+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003602s ]
[ 2019-07-29T08:38:26+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2019-07-29T08:38:26+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002700s ]
[ 2019-07-29T08:38:26+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002905s ]
[ 2019-07-29T08:38:26+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.006325s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006654s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.075995s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076294s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.003414s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.003536s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002942s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003901s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014630s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003717s ]
[ 2019-07-29T08:38:27+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004028s ]
[ 2019-07-29T08:38:30+08:00 ] /abcTest/admin.php/Index/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --START--
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run CheckRoute Behavior [ RunTime:0.003582s ]
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003850s ]
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --START--
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003898s ]
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004152s ]
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Use of undefined constant Member - assumed 'Member' LeaveAction.class.php 第 5 行.
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | SQL: SHOW COLUMNS FROM `t_member` [ RunTime:0.009761s ]
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined index: id LeaveAction.class.php 第 9 行.
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | SQL: select memId,memName,vipCardId,memTel,memSex,memHealth,memRemarks from t_member where memId=''  [ RunTime:0.000803s ]
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --START--
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run LocationTemplate Behavior [ RunTime:0.003641s ]
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.003835s ]
[ 2019-07-29T08:38:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --START--
