[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | INFO: Tag[ route_check ] --START--
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | INFO: Run CheckRoute Behavior [ RunTime:0.002116s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.002329s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | INFO: Tag[ app_begin ] --START--
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001186s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001340s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | NOTIC: [8] Use of undefined constant Coach - assumed 'Coach' CoachAction.class.php 第 52 行.
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | SQL: SHOW COLUMNS FROM `t_coach` [ RunTime:0.003687s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | NOTIC: [8] Use of undefined constant User - assumed 'User' CoachAction.class.php 第 53 行.
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.003587s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | SQL: INSERT INTO `t_coach` (`coaName`,`coaSex`,`coaIdCardNo`,`coaNation`,`coaPolitic`,`coaEducation`,`coaTel`,`coaPosition`,`coaSchool`) VALUES ('赵晴','女','110265415632136584','汉族','党员','大学','13526489653','教练','北京体育大学') [ RunTime:0.055175s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | SQL: select max(coaID) from t_coach [ RunTime:0.000535s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/add | SQL: insert into t_user values('2000011','2000011','1') [ RunTime:0.074872s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ route_check ] --START--
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run CheckRoute Behavior [ RunTime:0.001935s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002191s ]
[ 2019-08-22T15:31:47+08:00 ] /abcTest/admin.php/Coach/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
