[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | INFO: Tag[ route_check ] --START--
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | INFO: Run CheckRoute Behavior [ RunTime:0.001865s ]
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | INFO: Tag[ route_check ] --END-- [ RunTime:0.002105s ]
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | INFO: Tag[ app_begin ] --START--
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001178s ]
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001352s ]
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | NOTIC: [8] Use of undefined constant Role - assumed 'Role' ManageRightAction.class.php 第 15 行.
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | SQL: SHOW COLUMNS FROM `t_role` [ RunTime:0.001178s ]
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | SQL: delete from t_role where userId='888' [ RunTime:0.000540s ]
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | SQL: insert into t_role (userId,userName,userRole) values ('888','王五        ','4') [ RunTime:0.000321s ]
[ 2019-09-01T16:05:18+08:00 ] /abcTest/admin.php/ManageRight/edit | SQL: insert into t_role (userId,userName,userRole) values ('888','王五        ','5') [ RunTime:0.000269s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ route_check ] --START--
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run CheckRoute Behavior [ RunTime:0.002100s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002389s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ app_begin ] --START--
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001442s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001683s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8] Use of undefined constant Right - assumed 'Right' ManageRightAction.class.php 第 4 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | SQL: SHOW COLUMNS FROM `t_right` [ RunTime:0.001859s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | SQL: SELECT	t.userId,t.userName,	
        GROUP_CONCAT(r.userRight) as rules 
        FROM 
         t_role t,t_right r where t.userRole=r.userRole GROUP BY	t.userId [ RunTime:0.001822s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_template ] --START--
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001877s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002117s ]
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_parse ] --START--
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T16:05:20+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
