[ 2012-05-16T22:45:19+08:00 ] /xxx/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-16T22:45:19+08:00 ] /xxx/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000797s ]
[ 2012-05-16T22:45:19+08:00 ] /xxx/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000914s ]
[ 2012-05-16T22:52:02+08:00 ] /xxx/ | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000940s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001111s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004699s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.000394s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ view_template ] --START--
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000978s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001060s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010690s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010811s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ view_filter ] --START--
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Run ContentReplace Behavior [ RunTime:0.000921s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Run TokenBuild Behavior [ RunTime:0.000897s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000589s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001154s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003918s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ view_end ] --START--
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000979s ]
[ 2012-05-16T22:52:38+08:00 ] /xxx/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001123s ]
