[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000745s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000865s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.040430s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.000453s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ view_template ] --START--
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000909s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000996s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.014245s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014344s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000486s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000626s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000312s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000589s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002233s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ view_end ] --START--
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000495s ]
[ 2012-05-17T08:37:12+08:00 ] /xxx/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000572s ]
[ 2012-05-17T10:03:32+08:00 ] /xxx/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T10:03:32+08:00 ] /xxx/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000752s ]
